Apartment,IPIP_1,IPIP_2,IPIP_3,IPIP_4,IPIP_5,IPIP_6,IPIP_7,IPIP_8,IPIP_9,IPIP_10,Sleep_schedule,Noise_sensitivity,Cleanliness,Cleanliness_2,Cooking_at_home,Guests_over,Smoking,Alcohol,Vibe,Chores,Conflict,FlatmateFactors_Priority,Compatibility_Importance,Compatibility_OverallRating,Compat_DailyRoutines,Compat_Tidiness,Compat_Noise,Compat_Interaction,Compat_Conflict,Compat_Relaxedness
C.61,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly agree,Disagree,Disagree,00:00-02:00,Neutral,Extremely important,Sometimes,Once per week,Once per week,Smoker,Rarely,Balanced,Take responsibility for most,Try to solve problems through discussion,Similar daily routines,Very,Moderately compatible,Disagree,Agree,Strongly disagree,Agree,Strongly agree,Agree
A.56,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly agree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Before 22:00,Somewhat insensitive,Very important,Rarely,Once per week,A few times per month,Non-smoker,Rarely,Quiet & private,Do my fair share,"Be direct, even if uncomfortable",Reliability in shared spaces,Not at all,Moderately compatible,Strongly agree,Strongly agree,Disagree,Strongly agree,Neither agree nor disagree,Strongly disagree
MO51,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree,22:00-00:00,Neutral,Moderately important,Often,Once per week,Rarely,Non-smoker,Often,Social & lively,Take responsibility for most,Try to solve problems through discussion,Shared interests / personality fit,Extremely,Slightly compatible,Agree,Agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree
TU.51,Neither agree nor disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,22:00-00:00,Somewhat insensitive,Very important,Rarely,Never,Never,Non-smoker,Rarely,Balanced,Take responsibility for most,Avoid confrontation,Being social and engaging,Not at all,Slightly compatible,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Agree
B.02,Disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Strongly agree,22:00-00:00,Somewhat insensitive,Extremely important,Rarely,Once per week,Rarely,Non-smoker,Sometimes,Social & lively,Take responsibility for most,Try to solve problems through discussion,Shared interests / personality fit,Extremely,Very compatible,Agree,Strongly disagree,Agree,Disagree,Disagree,Disagree
MO41,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,22:00-00:00,Neutral,Moderately important,Often,Rarely,A few times per month,Non-smoker,Sometimes,Very social,Do them when asked,Compromise quickly,Shared interests / personality fit,Extremely,Not at all compatible,Disagree,Disagree,Disagree,Agree,Strongly agree,Neither agree nor disagree
A.51,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,00:00-02:00,Somewhat insensitive,Very important,Sometimes,Once per week,A few times per month,Non-smoker,Sometimes,Very social,Do them when asked,Compromise quickly,Similar daily routines,Extremely,Slightly compatible,Agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree
E.41,Strongly agree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Before 22:00,Somewhat sensitive,Slightly important,Sometimes,Rarely,Once per week,Non-smoker,Never,Balanced,Do them when asked,Try to solve problems through discussion,Being social and engaging,Very,Very compatible,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Disagree,Neither agree nor disagree
FR.31,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,00:00-02:00,Neutral,Very important,Most of the time,Several times per week,Never,Non-smoker,Often,Balanced,Take responsibility for most,Compromise quickly,Being social and engaging,Slightly,Extremely compatible,Agree,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree
C.22,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly disagree,Agree,Agree,Before 22:00,Somewhat insensitive,Extremely important,Rarely,Several times per week,Rarely,Non-smoker,Sometimes,Mostly private,Do my fair share,Try to solve problems through discussion,Respect for boundaries,Very,Moderately compatible,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree
E.42,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,Before 22:00,Somewhat sensitive,Extremely important,Rarely,Never,Several times per week,Non-smoker,Sometimes,Social & lively,Avoid them,Avoid confrontation,Being social and engaging,Slightly,Very compatible,Disagree,Agree,Agree,Strongly disagree,Disagree,Agree
A.25,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,22:00-00:00,Somewhat insensitive,Very important,Most of the time,Rarely,Rarely,Smoker,Rarely,Balanced,Do my fair share,Compromise quickly,Not important / flexible,Extremely,Slightly compatible,Strongly agree,Agree,Agree,Agree,Agree,Disagree
CU.31,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,After 02:00,Somewhat sensitive,Very important,Rarely,Once per week,A few times per month,Non-smoker,Sometimes,Very social,Do my fair share,Try to solve problems through discussion,Reliability in shared spaces,Slightly,Slightly compatible,Strongly agree,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree
FR.61,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Strongly disagree,Agree,Neither agree nor disagree,Agree,22:00-00:00,Neutral,Very important,Most of the time,Once per week,Never,Non-smoker,Never,Mostly private,Take responsibility for most,Compromise quickly,Being social and engaging,Slightly,Very compatible,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree
MO51,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,00:00-02:00,Neutral,Very important,Rarely,Several times per week,Never,Non-smoker,Often,Mostly private,Often take initiative,Try to solve problems through discussion,Not important / flexible,Extremely,Very compatible,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree
A.15,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,00:00-02:00,Very sensitive,Moderately important,Often,Once per week,Once per week,Non-smoker,Often,Mostly private,Often take initiative,Try to solve problems through discussion,Being social and engaging,Not at all,Slightly compatible,Agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Agree
C.43,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Strongly agree,Agree,Agree,22:00-00:00,Neutral,Very important,Rarely,Several times per week,Rarely,Non-smoker,Rarely,Social & lively,Avoid them,Avoid confrontation,Similar daily routines,Slightly,Not at all compatible,Agree,Strongly agree,Agree,Disagree,Neither agree nor disagree,Agree
CU.41,Agree,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Disagree,00:00-02:00,Neutral,Extremely important,Often,Once per week,A few times per month,Non-smoker,Sometimes,Quiet & private,Take responsibility for most,Avoid confrontation,Being social and engaging,Moderately,Not at all compatible,Disagree,Strongly disagree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
FR.63,Strongly disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,After 02:00,Somewhat insensitive,Extremely important,Sometimes,Once per week,Once per week,Smoker,Often,Balanced,Do them when asked,Compromise quickly,Respect for boundaries,Very,Slightly compatible,Strongly agree,Neither agree nor disagree,Strongly disagree,Agree,Strongly agree,Agree
C.33,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,00:00-02:00,Somewhat sensitive,Extremely important,Most of the time,Once per week,Rarely,Non-smoker,Sometimes,Balanced,Often take initiative,"Be direct, even if uncomfortable",Reliability in shared spaces,Very,Very compatible,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree
FR.61,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,22:00-00:00,Somewhat insensitive,Extremely important,Often,Once per week,Rarely,Non-smoker,Rarely,Quiet & private,Avoid them,Compromise quickly,Not important / flexible,Very,Moderately compatible,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree
A.45,Strongly disagree,Agree,Neither agree nor disagree,Strongly disagree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,00:00-02:00,Neutral,Very important,Most of the time,Never,Several times per week,Non-smoker,Very often,Balanced,Do them when asked,Compromise quickly,Shared interests / personality fit,Extremely,Moderately compatible,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
B.24,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,00:00-02:00,Neutral,Extremely important,Rarely,Once per week,Rarely,Non-smoker,Often,Balanced,Avoid them,Try to solve problems through discussion,Shared interests / personality fit,Slightly,Moderately compatible,Agree,Disagree,Agree,Agree,Strongly agree,Disagree
A.42,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Before 22:00,Somewhat insensitive,Moderately important,Often,Rarely,Rarely,Non-smoker,Rarely,Quiet & private,Do my fair share,Try to solve problems through discussion,Shared interests / personality fit,Moderately,Very compatible,Neither agree nor disagree,Agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree
FR.62,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Before 22:00,Neutral,Extremely important,Sometimes,Once per week,Once per week,Non-smoker,Sometimes,Balanced,Often take initiative,Try to solve problems through discussion,Respect for boundaries,Very,Not at all compatible,Strongly agree,Strongly disagree,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree
A.55,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,22:00-00:00,Very insensitive,Extremely important,Rarely,Once per week,A few times per month,Non-smoker,Very often,Very social,Avoid them,Compromise quickly,Reliability in shared spaces,Very,Very compatible,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree
D.21,Disagree,Agree,Neither agree nor disagree,Strongly disagree,Disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,22:00-00:00,Neutral,Slightly important,Rarely,Every day,Rarely,Non-smoker,Often,Very social,Do them when asked,Try to solve problems through discussion,Being social and engaging,Moderately,Extremely compatible,Agree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree
D.23,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,22:00-00:00,Neutral,Very important,Most of the time,Several times per week,Once per week,Non-smoker,Rarely,Balanced,Take responsibility for most,"Be direct, even if uncomfortable",Similar daily routines,Not at all,Slightly compatible,Neither agree nor disagree,Strongly agree,Agree,Agree,Strongly agree,Agree
B.12,Disagree,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,22:00-00:00,Neutral,Extremely important,Rarely,Once per week,Never,Non-smoker,Often,Balanced,Do them when asked,Compromise quickly,Reliability in shared spaces,Not at all,Very compatible,Agree,Disagree,Agree,Disagree,Strongly disagree,Agree
D.33,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,22:00-00:00,Neutral,Extremely important,Most of the time,Several times per week,Several times per week,Non-smoker,Rarely,Mostly private,Do them when asked,Try to solve problems through discussion,Respect for boundaries,Slightly,Very compatible,Agree,Agree,Strongly agree,Agree,Disagree,Strongly agree
A.35,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,After 02:00,Somewhat insensitive,Very important,Sometimes,Rarely,Once per week,Non-smoker,Rarely,Very social,Do my fair share,Compromise quickly,Not important / flexible,Slightly,Not at all compatible,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree
A.03,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,00:00-02:00,Neutral,Very important,Sometimes,Once per week,Once per week,Non-smoker,Sometimes,Mostly private,Take responsibility for most,Try to solve problems through discussion,Shared interests / personality fit,Slightly,Slightly compatible,Agree,Agree,Strongly disagree,Disagree,Disagree,Agree
A.13,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,After 02:00,Very sensitive,Very important,Most of the time,Rarely,Rarely,Non-smoker,Never,Balanced,Do them when asked,Avoid confrontation,Being social and engaging,Moderately,Moderately compatible,Neither agree nor disagree,Disagree,Strongly agree,Agree,Agree,Agree
FR.51,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,00:00-02:00,Somewhat insensitive,Moderately important,Most of the time,Never,Rarely,Non-smoker,Sometimes,Quiet & private,Take responsibility for most,Try to solve problems through discussion,Similar daily routines,Slightly,Moderately compatible,Agree,Agree,Disagree,Strongly disagree,Strongly agree,Strongly agree
FR.31,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Agree,Before 22:00,Neutral,Extremely important,Often,Several times per week,A few times per month,Smoker,Often,Mostly private,Do my fair share,Compromise quickly,Respect for boundaries,Very,Moderately compatible,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
A.35,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,22:00-00:00,Somewhat insensitive,Very important,Often,Several times per week,A few times per month,Non-smoker,Rarely,Quiet & private,Do my fair share,Compromise quickly,Reliability in shared spaces,Extremely,Slightly compatible,Strongly disagree,Strongly disagree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree
FR.42,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,After 02:00,Neutral,Moderately important,Rarely,Once per week,Never,Non-smoker,Sometimes,Social & lively,Do them when asked,Try to solve problems through discussion,Being social and engaging,Moderately,Very compatible,Disagree,Strongly agree,Neither agree nor disagree,Disagree,Strongly agree,Disagree
FR.53,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,22:00-00:00,Somewhat sensitive,Extremely important,Often,Several times per week,Several times per week,Smoker,Sometimes,Balanced,Often take initiative,Prefer not to say,Not important / flexible,Moderately,Slightly compatible,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,Neither agree nor disagree
A.13,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Before 22:00,Very insensitive,Moderately important,Rarely,Several times per week,A few times per month,Non-smoker,Sometimes,Balanced,Do them when asked,Compromise quickly,Being social and engaging,Extremely,Slightly compatible,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree
A.24,Disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,22:00-00:00,Neutral,Extremely important,Often,Rarely,Several times per week,Non-smoker,Sometimes,Mostly private,Often take initiative,Try to solve problems through discussion,Not important / flexible,Moderately,Slightly compatible,Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree
HD.31,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,22:00-00:00,Neutral,Very important,Rarely,Never,Several times per week,Non-smoker,Often,Social & lively,Do them when asked,Try to solve problems through discussion,Not important / flexible,Extremely,Very compatible,Strongly agree,Agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree
E.42,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Agree,Disagree,Disagree,22:00-00:00,Very sensitive,Slightly important,Sometimes,Rarely,A few times per month,Non-smoker,Rarely,Quiet & private,Do my fair share,"Be direct, even if uncomfortable",Shared interests / personality fit,Slightly,Not at all compatible,Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Disagree
CU.12,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,22:00-00:00,Somewhat sensitive,Very important,Rarely,Once per week,Once per week,Non-smoker,Rarely,Mostly private,Take responsibility for most,Try to solve problems through discussion,Being social and engaging,Extremely,Slightly compatible,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
E.41,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,22:00-00:00,Neutral,Very important,Most of the time,Once per week,A few times per month,Non-smoker,Sometimes,Balanced,Often take initiative,Try to solve problems through discussion,Reliability in shared spaces,Moderately,Slightly compatible,Agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Disagree
A.02,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,00:00-02:00,Somewhat sensitive,Extremely important,Sometimes,Once per week,Never,Non-smoker,Sometimes,Very social,Do them when asked,Try to solve problems through discussion,Respect for boundaries,Not at all,Not at all compatible,Disagree,Agree,Agree,Disagree,Strongly agree,Strongly agree
D.32,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,22:00-00:00,Very sensitive,Extremely important,Always,Once per week,Once per week,Non-smoker,Sometimes,Mostly private,Often take initiative,Avoid confrontation,Reliability in shared spaces,Extremely,Slightly compatible,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
A.46,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,00:00-02:00,Somewhat insensitive,Very important,Often,Once per week,Rarely,Non-smoker,Often,Balanced,Often take initiative,Try to solve problems through discussion,Being social and engaging,Extremely,Moderately compatible,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree
D.33,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,00:00-02:00,Neutral,Very important,Sometimes,Several times per week,Rarely,Non-smoker,Very often,Balanced,Do them when asked,Compromise quickly,Reliability in shared spaces,Moderately,Very compatible,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Disagree,Disagree
CU.42,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,00:00-02:00,Neutral,Very important,Sometimes,Never,A few times per month,Non-smoker,Often,Social & lively,Do my fair share,Try to solve problems through discussion,Similar daily routines,Extremely,Moderately compatible,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly agree
MO51,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Disagree,22:00-00:00,Neutral,Moderately important,Most of the time,Rarely,Rarely,Non-smoker,Sometimes,Quiet & private,Do them when asked,Compromise quickly,Reliability in shared spaces,Slightly,Moderately compatible,Strongly disagree,Agree,Agree,Disagree,Disagree,Strongly disagree
TU.53,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,00:00-02:00,Somewhat sensitive,Very important,Sometimes,Rarely,A few times per month,Smoker,Sometimes,Balanced,Do my fair share,"Be direct, even if uncomfortable",Respect for boundaries,Very,Not at all compatible,Disagree,Agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Agree
B.03,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Before 22:00,Neutral,Very important,Sometimes,Never,Once per week,Non-smoker,Rarely,Quiet & private,Often take initiative,Avoid confrontation,Reliability in shared spaces,Slightly,Extremely compatible,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree
FR.72,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,22:00-00:00,Somewhat sensitive,Very important,Most of the time,Several times per week,Never,Non-smoker,Sometimes,Quiet & private,Do them when asked,Compromise quickly,Being social and engaging,Slightly,Slightly compatible,Agree,Agree,Strongly disagree,Neither agree nor disagree,Agree,Agree
C.23,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,00:00-02:00,Neutral,Moderately important,Sometimes,Every day,Rarely,Smoker,Never,Quiet & private,Do them when asked,"Be direct, even if uncomfortable",Respect for boundaries,Very,Moderately compatible,Disagree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree
A.22,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,22:00-00:00,Neutral,Extremely important,Sometimes,Rarely,Never,Smoker,Rarely,Very social,Do them when asked,"Be direct, even if uncomfortable",Not important / flexible,Slightly,Extremely compatible,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree
C.21,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,22:00-00:00,Neutral,Very important,Most of the time,Never,Never,Non-smoker,Never,Mostly private,Take responsibility for most,Try to solve problems through discussion,Reliability in shared spaces,Not at all,Very compatible,Strongly disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Strongly agree
E.01,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,22:00-00:00,Somewhat sensitive,Extremely important,Rarely,Once per week,Several times per week,Non-smoker,Never,Very social,Often take initiative,Try to solve problems through discussion,Not important / flexible,Moderately,Slightly compatible,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree
E.31,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Before 22:00,Neutral,Extremely important,Sometimes,Every day,Once per week,Non-smoker,Rarely,Mostly private,Avoid them,Try to solve problems through discussion,Shared interests / personality fit,Slightly,Slightly compatible,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree
D.11,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,22:00-00:00,Neutral,Very important,Rarely,Rarely,Once per week,Non-smoker,Sometimes,Very social,Do my fair share,Avoid confrontation,Reliability in shared spaces,Very,Not at all compatible,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree
MO43,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,After 02:00,Somewhat sensitive,Extremely important,Most of the time,Every day,Never,Non-smoker,Often,Balanced,Do them when asked,Compromise quickly,Being social and engaging,Slightly,Moderately compatible,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly agree
TU.53,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,Disagree,Neither agree nor disagree,Disagree,Agree,22:00-00:00,Neutral,Very important,Rarely,Once per week,Never,Non-smoker,Rarely,Quiet & private,Often take initiative,"Be direct, even if uncomfortable",Reliability in shared spaces,Very,Moderately compatible,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Neither agree nor disagree
TU.53,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Disagree,Strongly disagree,Neither agree nor disagree,22:00-00:00,Very sensitive,Moderately important,Most of the time,Several times per week,Rarely,Non-smoker,Rarely,Balanced,Do my fair share,Try to solve problems through discussion,Similar daily routines,Slightly,Very compatible,Disagree,Disagree,Agree,Agree,Agree,Disagree
A.04,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,00:00-02:00,Neutral,Moderately important,Often,Never,Once per week,Non-smoker,Sometimes,Mostly private,Take responsibility for most,Compromise quickly,Respect for boundaries,Moderately,Not at all compatible,Disagree,Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree
B.63,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,00:00-02:00,Neutral,Very important,Most of the time,Once per week,Once per week,Non-smoker,Rarely,Mostly private,Do them when asked,Try to solve problems through discussion,Not important / flexible,Slightly,Very compatible,Strongly agree,Disagree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree
