unit,apartment,age,gender,nationality,remainingstay_days,lengthofstay_days,extraversion,agreeableness,conscientiousness,emotional_stability,openness,sleep_schedule,noise_sensitivity,cleanliness,cleanliness_2,cooking_at_home,guests_over,smoking,alcohol,vibe,chores,conflict,flatmatefactors_priority,compatibility_importance,compatibility_overallrating,compat_dailyroutines,compat_tidiness,compat_noise,compat_interaction,compat_conflict,compat_relaxedness,sleep_schedule_num,noise_sensitivity_num,cleanliness_num,cleanliness_2_num,cooking_at_home_num,guests_over_num,smoking_num,alcohol_num,vibe_num,chores_num,conflict_num,compatibility_importance_num,compatibility_overallrating_num,compat_dailyroutines_num,compat_tidiness_num,compat_noise_num,compat_interaction_num,compat_conflict_num,compat_relaxedness_num,occupation,apartmentsize
PXB.08.3,PXB.08,23.0,female,Spain,370,15,1.5,3.5,2.5,3.5,3.5,22:00-00:00,Neutral,Moderately important,Often,Rarely,Never,Non-smoker,Often,Balanced,Do my fair share,Try to solve problems through discussion,Respect for boundaries,Slightly,Very compatible,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,2.0,3,3,3,2,1,0,4,3,3,3.0,2,4,4,4,3,2,3,3,Apprentice / Trainee,5
PXB.08.5,PXB.08,24.0,unknown,Unknown,126,238,3.5,2.5,3.5,3.0,2.0,22:00-00:00,Neutral,Very important,Most of the time,Rarely,A few times per month,Non-smoker,Never,Balanced,Do my fair share,"Be direct, even if uncomfortable",Shared interests / personality fit,Slightly,Slightly compatible,Neither agree nor disagree,Agree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,2.0,3,4,4,2,3,0,1,3,3,4.0,2,2,3,4,2,2,1,3,Unknown,5
PXB.08.2,PXB.08,22.0,female,Spain,279,97,3.0,3.0,3.5,3.5,2.5,00:00-02:00,Neutral,Very important,Rarely,Once per week,Never,Non-smoker,Sometimes,Mostly private,Often take initiative,Try to solve problems through discussion,Reliability in shared spaces,Moderately,Very compatible,Agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly disagree,3.0,3,4,1,3,1,0,3,2,4,3.0,3,4,4,2,5,4,5,1,Student,5
PXB.08.1,PXB.08,26.0,unknown,India,5,249,3.0,2.5,3.5,3.0,3.0,22:00-00:00,Somewhat sensitive,Extremely important,Often,Rarely,Never,Non-smoker,Rarely,Balanced,Do them when asked,Avoid confrontation,Shared interests / personality fit,Slightly,Very compatible,Agree,Agree,Strongly disagree,Disagree,Agree,Agree,2.0,4,5,3,2,1,0,2,3,2,1.0,2,4,4,4,1,2,4,4,Student,5
PXB.09.1,PXB.09,24.0,female,Lithuania,5,328,3.0,3.5,2.5,2.5,3.0,After 02:00,Somewhat insensitive,Very important,Often,Every day,A few times per month,Non-smoker,Often,Balanced,Do my fair share,Compromise quickly,Being social and engaging,Slightly,Very compatible,Neither agree nor disagree,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,4.0,2,4,3,5,3,0,4,3,3,2.0,2,4,3,5,2,2,5,2,Employed,4
PXB.09.2,PXB.09,22.0,unknown,South Korea,309,55,2.5,2.5,3.5,3.0,2.0,22:00-00:00,Somewhat sensitive,Very important,Rarely,Never,Rarely,Non-smoker,Often,Social & lively,Often take initiative,Avoid confrontation,Similar daily routines,Slightly,Very compatible,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,2.0,4,4,1,1,2,0,4,4,4,1.0,2,4,4,4,5,5,1,3,Student,4
PXB.09.3,PXB.09,21.0,male,Germany,309,55,3.0,3.0,2.5,3.0,3.0,Before 22:00,Neutral,Extremely important,Rarely,Never,Rarely,Non-smoker,Never,Very social,Do my fair share,Compromise quickly,Not important / flexible,Slightly,Moderately compatible,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Agree,1.0,3,5,1,1,2,0,1,5,3,2.0,2,3,3,2,2,3,1,4,Employed,4
PXB.09.4,PXB.09,20.0,male,France,36,96,3.0,3.0,3.0,3.0,2.5,00:00-02:00,Neutral,Very important,Most of the time,Rarely,A few times per month,Non-smoker,Rarely,Quiet & private,Do them when asked,Try to solve problems through discussion,Shared interests / personality fit,Slightly,Moderately compatible,Agree,Agree,Strongly agree,Disagree,Agree,Strongly disagree,3.0,3,4,4,2,3,0,2,1,2,3.0,2,3,4,4,5,2,4,1,Student,4
PXB.10.4,PXB.10,33.0,female,India,187,197,2.0,4.0,4.0,3.0,2.5,22:00-00:00,Somewhat sensitive,Extremely important,Often,Once per week,Once per week,Smoker,Often,Balanced,Take responsibility for most,Avoid confrontation,Reliability in shared spaces,Slightly,Slightly compatible,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Disagree,2.0,4,5,3,3,4,1,4,3,5,1.0,2,2,3,1,3,5,1,2,Employed,4
PXB.10.2,PXB.10,23.0,male,Italy,248,116,3.5,2.5,2.0,3.0,3.0,00:00-02:00,Very sensitive,Very important,Most of the time,Once per week,Several times per week,Non-smoker,Rarely,Very social,Do my fair share,"Be direct, even if uncomfortable",Reliability in shared spaces,Not at all,Slightly compatible,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,3.0,5,4,4,3,5,0,2,5,3,4.0,1,2,5,5,4,3,1,3,Employed,4
PXB.10.1,PXB.10,26.0,male,Nigeria,248,122,3.5,3.5,2.5,3.0,3.5,Before 22:00,Somewhat sensitive,Moderately important,Most of the time,Every day,Rarely,Non-smoker,Often,Mostly private,Do my fair share,Compromise quickly,Respect for boundaries,Extremely,Slightly compatible,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,1.0,4,3,4,5,2,0,4,2,3,2.0,5,2,4,3,4,4,4,3,Student,4
PXB.11.2,PXB.11,27.0,unknown,Nepal,36,328,4.5,3.0,3.0,3.0,2.5,Before 22:00,Neutral,Moderately important,Rarely,Once per week,Rarely,Smoker,Often,Mostly private,Avoid them,Avoid confrontation,Respect for boundaries,Extremely,Very compatible,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,1.0,3,3,1,3,2,1,4,2,1,1.0,5,4,3,4,4,3,4,5,Employed,3
PXB.11.1,PXB.11,23.0,unknown,India,279,92,2.0,3.0,2.5,3.5,3.5,22:00-00:00,Somewhat sensitive,Very important,Rarely,Rarely,Rarely,Non-smoker,Sometimes,Social & lively,Often take initiative,Compromise quickly,Being social and engaging,Moderately,Very compatible,Neither agree nor disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,2.0,4,4,1,2,2,0,3,4,4,2.0,3,4,3,4,5,4,4,5,Student,3
PXB.11.3,PXB.11,21.0,unknown,South Korea,187,177,3.0,3.5,3.5,3.5,2.5,22:00-00:00,Somewhat insensitive,Very important,Most of the time,Rarely,Never,Non-smoker,Sometimes,Social & lively,Take responsibility for most,Try to solve problems through discussion,Reliability in shared spaces,Extremely,Very compatible,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,2.0,2,4,4,2,1,0,3,4,5,3.0,5,4,3,3,1,5,1,4,Student,3
PXB.12.4,PXB.12,24.0,male,Unknown,309,55,3.0,2.5,3.0,4.0,1.5,00:00-02:00,Neutral,Not at all important,Often,Several times per week,Rarely,Non-smoker,Rarely,Balanced,Do them when asked,"Be direct, even if uncomfortable",Reliability in shared spaces,Slightly,Very compatible,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,3.0,3,1,3,4,2,0,2,3,2,4.0,2,4,4,3,3,5,3,3,Unknown,5
PXB.12.1,PXB.12,22.0,female,Italy,279,97,3.0,2.5,2.0,2.5,3.0,22:00-00:00,Neutral,Very important,Rarely,Rarely,Rarely,Non-smoker,Sometimes,Mostly private,Often take initiative,Try to solve problems through discussion,Reliability in shared spaces,Slightly,Moderately compatible,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,2.0,3,4,1,2,2,0,3,2,4,3.0,2,3,5,3,4,4,4,5,Student,5
PXB.12.3,PXB.12,17.0,female,Kazakhstan,279,97,3.0,3.5,3.5,3.0,1.5,22:00-00:00,Very sensitive,Extremely important,Often,Every day,Never,Non-smoker,Rarely,Balanced,Do my fair share,Avoid confrontation,Similar daily routines,Moderately,Moderately compatible,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Disagree,2.0,5,5,3,5,1,0,2,3,3,1.0,3,3,3,2,4,2,2,2,Student,5
PXB.12.5,PXB.12,22.0,male,Austria,340,46,2.5,2.5,3.0,4.5,2.5,00:00-02:00,Neutral,Extremely important,Rarely,Once per week,Rarely,Non-smoker,Often,Balanced,Avoid them,Try to solve problems through discussion,Shared interests / personality fit,Slightly,Moderately compatible,Agree,Disagree,Agree,Agree,Strongly agree,Disagree,3.0,3,5,1,3,2,0,4,3,1,3.0,2,3,4,2,4,4,5,2,Student,5
PXB.12.2,PXB.12,21.0,male,India,340,24,2.5,3.5,2.5,3.0,2.0,22:00-00:00,Neutral,Very important,Always,Never,Never,Non-smoker,Often,Social & lively,Do them when asked,"Be direct, even if uncomfortable",Reliability in shared spaces,Moderately,Moderately compatible,Disagree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly agree,2.0,3,4,5,1,1,0,4,4,2,4.0,3,3,2,1,3,2,3,5,Student,5
PXB.13.4,PXB.13,23.0,female,Unknown,5,91,2.5,3.5,2.5,3.5,3.0,22:00-00:00,Neutral,Moderately important,Sometimes,Several times per week,A few times per month,Non-smoker,Sometimes,Quiet & private,Often take initiative,Compromise quickly,Being social and engaging,Slightly,Not at all compatible,Disagree,Agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Agree,2.0,3,3,2,4,3,0,3,1,4,2.0,2,1,2,4,5,3,1,4,Student,4
PXB.13.3,PXB.13,19.0,unknown,Palestine (unspecified),156,208,3.0,3.0,3.0,3.5,3.5,After 02:00,Somewhat sensitive,Moderately important,Most of the time,Every day,Rarely,Non-smoker,Rarely,Mostly private,Take responsibility for most,Compromise quickly,Reliability in shared spaces,Very,Moderately compatible,Agree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly agree,4.0,4,3,4,5,2,0,2,2,5,2.0,4,3,4,2,3,2,3,5,Student,4
PXB.14.2,PXB.14,17.0,unknown,United States,279,85,3.0,3.5,2.5,2.5,2.0,00:00-02:00,Neutral,Moderately important,Always,Every day,Rarely,Non-smoker,Sometimes,Balanced,Often take initiative,Try to solve problems through discussion,Shared interests / personality fit,Moderately,Slightly compatible,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,3.0,3,3,5,5,2,0,3,3,4,3.0,3,2,3,3,3,4,4,2,Student,4
PXB.14.4,PXB.14,33.0,female,Portugal,5,85,3.0,3.0,2.0,2.5,3.0,Before 22:00,Somewhat sensitive,Moderately important,Sometimes,Several times per week,Never,Non-smoker,Never,Balanced,Do my fair share,Try to solve problems through discussion,Not important / flexible,Extremely,Extremely compatible,Neither agree nor disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,1.0,4,3,2,4,1,0,1,3,3,3.0,5,5,3,4,5,4,4,5,Employed,4
PXB.14.1,PXB.14,33.0,unknown,China,126,238,3.0,3.5,3.5,3.0,2.5,After 02:00,Somewhat insensitive,Very important,Rarely,Once per week,A few times per month,Non-smoker,Rarely,Balanced,Take responsibility for most,Try to solve problems through discussion,Similar daily routines,Very,Not at all compatible,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,4.0,2,4,1,3,3,0,2,3,5,3.0,4,1,2,2,3,3,4,5,Employed,4
PXB.15.3,PXB.15,40.0,male,Syria,279,85,3.0,3.5,3.0,2.5,3.5,22:00-00:00,Neutral,Extremely important,Often,Once per week,Rarely,Non-smoker,Sometimes,Balanced,Do them when asked,Try to solve problems through discussion,Reliability in shared spaces,Very,Slightly compatible,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Agree,Neither agree nor disagree,2.0,3,5,3,3,2,0,3,3,2,3.0,4,2,3,3,5,1,4,3,Employed,4
PXB.15.4,PXB.15,27.0,unknown,India,340,24,3.0,3.5,4.0,3.5,2.5,After 02:00,Very sensitive,Extremely important,Most of the time,Several times per week,Rarely,Non-smoker,Sometimes,Quiet & private,Do them when asked,"Be direct, even if uncomfortable",Respect for boundaries,Moderately,Slightly compatible,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,4.0,5,5,4,4,2,0,3,1,2,4.0,3,2,4,4,3,4,4,3,Job-seeking,4
PXB.15.2,PXB.15,23.0,female,Spain,370,15,4.0,3.0,2.5,3.0,3.0,00:00-02:00,Somewhat sensitive,Extremely important,Always,Several times per week,Rarely,Non-smoker,Rarely,Mostly private,Do them when asked,Try to solve problems through discussion,Respect for boundaries,Slightly,Slightly compatible,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,3.0,4,5,5,4,2,0,2,2,2,3.0,2,2,4,3,3,4,4,4,Apprentice / Trainee,4
PXB.15.1,PXB.15,24.0,male,Germany,279,89,2.5,3.0,4.0,3.0,3.5,22:00-00:00,Very sensitive,Very important,Rarely,Several times per week,Rarely,Non-smoker,Often,Social & lively,Do my fair share,Try to solve problems through discussion,Reliability in shared spaces,Not at all,Slightly compatible,Strongly disagree,Strongly agree,Disagree,Agree,Agree,Strongly agree,2.0,5,4,1,4,2,0,4,4,3,3.0,1,2,1,5,2,4,4,5,Student,4
PXB.16.5,PXB.16,23.0,male,Egypt,340,24,3.5,3.5,2.0,3.0,4.0,Before 22:00,Somewhat sensitive,Very important,Most of the time,Every day,Never,Non-smoker,Rarely,Quiet & private,Often take initiative,Try to solve problems through discussion,Shared interests / personality fit,Extremely,Slightly compatible,Agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Disagree,1.0,4,4,4,5,1,0,2,1,4,3.0,5,2,4,5,1,5,2,2,Employed,5
PXB.16.2,PXB.16,24.0,unknown,France,279,85,3.0,3.5,2.0,2.5,4.0,00:00-02:00,Somewhat insensitive,Very important,Sometimes,Never,Several times per week,Non-smoker,Sometimes,Balanced,Avoid them,Compromise quickly,Not important / flexible,Slightly,Very compatible,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,3.0,2,4,2,1,5,0,3,3,1,2.0,2,4,5,3,4,3,4,3,Student,5
PXB.16.1,PXB.16,24.0,male,Spain,279,97,4.0,2.5,3.0,3.0,4.0,22:00-00:00,Neutral,Very important,Often,Every day,Rarely,Non-smoker,Sometimes,Mostly private,Avoid them,"Be direct, even if uncomfortable",Reliability in shared spaces,Extremely,Moderately compatible,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,2.0,3,4,3,5,2,0,3,2,1,4.0,5,3,3,3,3,2,4,3,Student,5
PXB.16.4,PXB.16,18.0,male,India,279,85,2.5,3.0,3.0,3.5,3.5,Before 22:00,Somewhat insensitive,Moderately important,Rarely,Once per week,Once per week,Non-smoker,Very often,Balanced,Do them when asked,Avoid confrontation,Being social and engaging,Very,Slightly compatible,Agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,1.0,2,3,1,3,4,0,5,3,2,1.0,4,2,4,5,4,2,5,5,Student,5
PXB.17.3,PXB.17,23.0,male,France,5,194,3.5,2.0,2.0,3.0,2.5,22:00-00:00,Somewhat sensitive,Very important,Often,Every day,A few times per month,Non-smoker,Sometimes,Quiet & private,Avoid them,Compromise quickly,Shared interests / personality fit,Moderately,Very compatible,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly disagree,2.0,4,4,3,5,3,0,3,1,1,2.0,3,4,4,5,4,4,3,1,Student,4
PXB.17.4,PXB.17,37.0,male,Pakistan,156,208,2.5,4.0,4.0,4.0,2.5,00:00-02:00,Neutral,Moderately important,Most of the time,Once per week,Rarely,Non-smoker,Very often,Balanced,Do them when asked,Compromise quickly,Respect for boundaries,Moderately,Extremely compatible,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,3.0,3,3,4,3,2,0,5,3,2,2.0,3,5,3,3,1,3,5,3,Job-seeking,4
PXB.17.2,PXB.17,28.0,unknown,India,340,50,3.0,3.0,3.0,3.0,2.0,22:00-00:00,Somewhat insensitive,Very important,Most of the time,Once per week,A few times per month,Non-smoker,Sometimes,Balanced,Avoid them,Avoid confrontation,Being social and engaging,Extremely,Extremely compatible,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,2.0,2,4,4,3,3,0,3,3,1,1.0,5,5,3,4,2,2,2,3,Student,4
PXB.17.1,PXB.17,20.0,female,Spain,248,97,2.5,4.0,3.5,3.0,3.5,After 02:00,Very insensitive,Slightly important,Often,Once per week,Never,Smoker,Often,Balanced,Do my fair share,Try to solve problems through discussion,Not important / flexible,Slightly,Very compatible,Agree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Agree,4.0,1,2,3,3,1,1,4,3,3,3.0,2,4,4,3,2,2,1,4,Student,4
PXB.18.1,PXB.18,18.0,female,Turkey,126,246,3.0,2.0,3.5,3.0,1.5,00:00-02:00,Neutral,Extremely important,Most of the time,Several times per week,Rarely,Non-smoker,Rarely,Very social,Take responsibility for most,Try to solve problems through discussion,Reliability in shared spaces,Extremely,Very compatible,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,3.0,3,5,4,4,2,0,2,5,5,3.0,5,4,3,4,1,3,3,5,Student,4
PXB.18.4,PXB.18,25.0,female,Spain,217,147,2.5,3.0,3.5,3.5,2.0,After 02:00,Somewhat insensitive,Very important,Most of the time,Never,Once per week,Non-smoker,Never,Mostly private,Do them when asked,Try to solve problems through discussion,Respect for boundaries,Slightly,Moderately compatible,Disagree,Strongly agree,Strongly disagree,Agree,Agree,Disagree,4.0,2,4,4,1,4,0,1,2,2,3.0,2,3,2,5,1,4,4,2,Employed,4
PXB.18.3,PXB.18,33.0,unknown,India,248,116,2.5,3.0,2.5,2.5,3.5,22:00-00:00,Somewhat sensitive,Very important,Most of the time,Once per week,A few times per month,Smoker,Often,Quiet & private,Do them when asked,Try to solve problems through discussion,Similar daily routines,Very,Slightly compatible,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,2.0,4,4,4,3,3,1,4,1,2,3.0,4,2,3,3,5,3,4,3,Student,4
PXB.18.2,PXB.18,23.0,female,Italy,309,76,2.5,3.5,2.0,3.0,4.0,22:00-00:00,Neutral,Very important,Often,Rarely,Once per week,Non-smoker,Sometimes,Balanced,Avoid them,Try to solve problems through discussion,Not important / flexible,Very,Extremely compatible,Disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Strongly agree,2.0,3,4,3,2,4,0,3,3,1,3.0,4,5,2,3,2,4,2,5,Student,4
PXB.19.4,PXB.19,28.0,unknown,India,279,85,3.0,3.0,4.0,3.5,2.5,00:00-02:00,Neutral,Very important,Most of the time,Rarely,Once per week,Smoker,Very often,Balanced,Often take initiative,Compromise quickly,Respect for boundaries,Moderately,Moderately compatible,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly disagree,Strongly agree,3.0,3,4,4,2,4,1,5,3,4,2.0,3,3,4,3,5,4,1,5,Employed,4
PXB.19.3,PXB.19,24.0,unknown,India,248,146,3.0,3.5,3.5,2.5,3.5,00:00-02:00,Neutral,Very important,Often,Once per week,Once per week,Non-smoker,Sometimes,Social & lively,Often take initiative,"Be direct, even if uncomfortable",Respect for boundaries,Moderately,Not at all compatible,Disagree,Strongly agree,Disagree,Neither agree nor disagree,Strongly agree,Agree,3.0,3,4,3,3,4,0,3,4,4,4.0,3,1,2,5,2,3,5,4,Student,4
PXB.19.2,PXB.19,22.0,unknown,Spain,279,85,2.5,3.0,2.5,3.5,3.5,Before 22:00,Somewhat insensitive,Very important,Always,Rarely,Once per week,Non-smoker,Rarely,Quiet & private,Do them when asked,Try to solve problems through discussion,Respect for boundaries,Moderately,Slightly compatible,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,1.0,2,4,5,2,4,0,2,1,2,3.0,3,2,5,3,4,3,2,4,Student,4
PXB.19.1,PXB.19,23.0,male,Germany,217,147,3.5,2.5,3.5,3.0,3.5,00:00-02:00,Neutral,Very important,Most of the time,Rarely,Once per week,Non-smoker,Rarely,Balanced,Do my fair share,Compromise quickly,Reliability in shared spaces,Slightly,Moderately compatible,Disagree,Agree,Strongly disagree,Agree,Agree,Strongly agree,3.0,3,4,4,2,4,0,2,3,3,2.0,2,3,2,4,1,4,4,5,Employed,4
PXB.20.5,PXB.20,24.0,female,Cameroon,36,55,4.0,4.0,2.0,4.5,3.0,00:00-02:00,Somewhat insensitive,Very important,Always,Several times per week,Several times per week,Smoker,Sometimes,Balanced,Take responsibility for most,Avoid confrontation,Reliability in shared spaces,Slightly,Slightly compatible,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,3.0,2,4,5,4,5,1,3,3,5,1.0,2,2,4,4,1,5,5,5,Student,5
PXB.20.2,PXB.20,21.0,female,Spain,5,85,2.0,2.5,3.5,2.5,2.0,22:00-00:00,Somewhat insensitive,Very important,Sometimes,Several times per week,Once per week,Non-smoker,Sometimes,Mostly private,Often take initiative,Avoid confrontation,Not important / flexible,Very,Slightly compatible,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,2.0,2,4,2,4,4,0,3,2,4,1.0,4,2,2,3,4,4,4,3,Student,5
PXB.20.1,PXB.20,24.0,unknown,South Korea,187,177,3.0,3.0,2.5,2.5,3.5,22:00-00:00,Neutral,Very important,Rarely,Rarely,Rarely,Smoker,Rarely,Very social,Take responsibility for most,Compromise quickly,Similar daily routines,Extremely,Slightly compatible,Strongly disagree,Agree,Agree,Neither agree nor disagree,Agree,Strongly disagree,2.0,3,4,1,2,2,1,2,5,5,2.0,5,2,1,4,4,3,4,1,Student,5
PXB.20.3,PXB.20,24.0,unknown,Unknown,67,318,3.0,3.0,2.5,3.0,3.0,Before 22:00,Somewhat insensitive,Extremely important,Sometimes,Once per week,A few times per month,Non-smoker,Very often,Mostly private,Take responsibility for most,"Be direct, even if uncomfortable",Reliability in shared spaces,Slightly,Not at all compatible,Strongly disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,1.0,2,5,2,3,3,0,5,2,5,4.0,2,1,1,3,4,5,4,3,Unknown,5
PXB.21.1,PXB.21,23.0,male,Belgium,36,97,3.5,3.0,3.0,3.5,3.0,Before 22:00,Neutral,Moderately important,Most of the time,Several times per week,Rarely,Non-smoker,Sometimes,Mostly private,Often take initiative,Try to solve problems through discussion,Being social and engaging,Extremely,Very compatible,Strongly agree,Agree,Strongly disagree,Disagree,Neither agree nor disagree,Strongly disagree,1.0,3,3,4,4,2,0,3,2,4,3.0,5,4,5,4,1,2,3,1,Student,4
PXB.21.2,PXB.21,32.0,female,India,279,97,2.5,3.0,3.0,4.0,2.5,22:00-00:00,Neutral,Moderately important,Most of the time,Rarely,Once per week,Non-smoker,Rarely,Quiet & private,Do my fair share,Avoid confrontation,Respect for boundaries,Moderately,Very compatible,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,2.0,3,3,4,2,4,0,2,1,3,1.0,3,4,3,4,2,4,2,3,Student,4
PXB.21.3,PXB.21,24.0,unknown,Nigeria,5,147,3.5,3.0,2.5,2.5,2.5,22:00-00:00,Neutral,Extremely important,Often,Several times per week,Rarely,Non-smoker,Sometimes,Very social,Take responsibility for most,Avoid confrontation,Reliability in shared spaces,Slightly,Moderately compatible,Agree,Agree,Disagree,Agree,Strongly disagree,Disagree,2.0,3,5,3,4,2,0,3,5,5,1.0,2,3,4,4,2,4,1,2,Employed,4
PXB.21.4,PXB.21,32.0,unknown,Sri Lanka,5,113,3.0,3.0,2.5,2.5,3.5,22:00-00:00,Somewhat sensitive,Extremely important,Often,Several times per week,Never,Non-smoker,Very often,Social & lively,Do them when asked,Avoid confrontation,Respect for boundaries,Extremely,Very compatible,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Disagree,2.0,4,5,3,4,1,0,5,4,2,1.0,5,4,3,3,2,2,4,2,Employed,4
PXB.22.3,PXB.22,20.0,unknown,India,279,99,2.5,2.0,2.5,3.5,2.5,After 02:00,Very insensitive,Slightly important,Sometimes,Once per week,Rarely,Non-smoker,Never,Quiet & private,Do my fair share,Compromise quickly,Similar daily routines,Slightly,Moderately compatible,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Strongly agree,4.0,1,2,2,3,2,0,1,1,3,2.0,2,3,3,4,4,2,4,5,Student,4
PXB.22.4,PXB.22,21.0,male,France,5,116,4.0,3.0,2.5,2.5,4.5,Before 22:00,Very sensitive,Moderately important,Sometimes,Several times per week,A few times per month,Smoker,Rarely,Mostly private,Often take initiative,Compromise quickly,Being social and engaging,Moderately,Very compatible,Disagree,Disagree,Disagree,Agree,Agree,Agree,1.0,5,3,2,4,3,1,2,2,4,2.0,3,4,2,2,2,4,4,4,Student,4
PXB.22.1,PXB.22,19.0,unknown,Myanmar,309,55,3.0,3.0,3.0,2.0,2.5,22:00-00:00,Somewhat sensitive,Very important,Often,Once per week,Several times per week,Non-smoker,Rarely,Balanced,Do my fair share,Avoid confrontation,Shared interests / personality fit,Very,Slightly compatible,Strongly agree,Agree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.0,4,4,3,3,5,0,2,3,3,1.0,4,2,5,4,2,1,3,3,Student,4
PXB.23.4,PXB.23,24.0,male,Honduras,279,100,4.5,4.0,4.0,2.0,3.0,22:00-00:00,Somewhat insensitive,Extremely important,Rarely,Never,Once per week,Non-smoker,Very often,Mostly private,Do my fair share,"Be direct, even if uncomfortable",Respect for boundaries,Extremely,Moderately compatible,Agree,Strongly agree,Agree,Strongly disagree,Disagree,Disagree,2.0,2,5,1,1,4,0,5,2,3,4.0,5,3,4,5,4,1,2,2,Student,4
PXB.23.2,PXB.23,24.0,unknown,India,248,116,3.5,3.0,1.5,2.5,3.0,Before 22:00,Very insensitive,Extremely important,Often,Rarely,Several times per week,Non-smoker,Rarely,Quiet & private,Do my fair share,Compromise quickly,Reliability in shared spaces,Slightly,Moderately compatible,Strongly disagree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,1.0,1,5,3,2,5,0,2,1,3,2.0,2,3,1,5,4,4,4,3,Student,4
PXB.23.1,PXB.23,24.0,male,Honduras,279,100,2.5,3.0,4.0,4.0,2.5,After 02:00,Very insensitive,Extremely important,Most of the time,Several times per week,Once per week,Smoker,Often,Mostly private,Take responsibility for most,"Be direct, even if uncomfortable",Reliability in shared spaces,Moderately,Moderately compatible,Agree,Disagree,Disagree,Strongly disagree,Agree,Neither agree nor disagree,4.0,1,5,4,4,4,1,4,2,5,4.0,3,3,4,2,2,1,4,3,Student,4
PXB.23.3,PXB.23,29.0,unknown,China,217,174,4.0,3.5,3.0,2.5,3.0,22:00-00:00,Neutral,Extremely important,Sometimes,Every day,Rarely,Non-smoker,Often,Quiet & private,Do them when asked,Compromise quickly,Being social and engaging,Moderately,Moderately compatible,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,2.0,3,5,2,5,2,0,4,1,2,2.0,3,3,4,3,3,5,3,5,Employed,4
